Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad
Ajinkya Rahane,Ajinkya Rahane,Ajinkya Rahane,Ajinkya Rahane,Shivam Dube,Shivam Dube,Shivam Dube,Shivam Dube,Ajinkya Rahane,Ajinkya Rahane,Ajinkya Rahane,Ajinkya Rahane,Shivam Dube,Shivam Dube,Shivam Dube,Shivam Dube
Moeen Ali,Moeen Ali,Moeen Ali,Moeen Ali,Moeen Ali,Moeen Ali,Moeen Ali,Moeen Ali,Moeen Ali,Moeen Ali,Moeen Ali,Moeen Ali,Moeen Ali,Moeen Ali,Moeen Ali,Moeen Ali
Mayank Agarwal,Mayank Agarwal,Harry Brook,Harry Brook,Mayank Agarwal,Mayank Agarwal,Harry Brook,Harry Brook,Mayank Agarwal,Mayank Agarwal,Harry Brook,Harry Brook,Mayank Agarwal,Mayank Agarwal,Harry Brook,Harry Brook
Rahul Tripathi,Aiden Markram (C),Rahul Tripathi,Aiden Markram (C),Rahul Tripathi,Aiden Markram (C),Rahul Tripathi,Aiden Markram (C),Rahul Tripathi,Aiden Markram (C),Rahul Tripathi,Aiden Markram (C),Rahul Tripathi,Aiden Markram (C),Rahul Tripathi,Aiden Markram (C)
Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK)
Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja,Maheesh Theekshana,Maheesh Theekshana,Ravindra Jadeja,Ravindra Jadeja,Maheesh Theekshana,Ravindra Jadeja,Ravindra Jadeja,Tushar Deshpande,Maheesh Theekshana,Ravindra Jadeja,Ravindra Jadeja,Maheesh Theekshana,Ravindra Jadeja
Matheesha Pathirana,Maheesh Theekshana,Matheesha Pathirana,Matheesha Pathirana,Tushar Deshpande,Maheesh Theekshana,Tushar Deshpande,Tushar Deshpande,Tushar Deshpande,Tushar Deshpande,Matheesha Pathirana,Tushar Deshpande,Maheesh Theekshana,Tushar Deshpande,Tushar Deshpande,Maheesh Theekshana
Marco Jansen,Tushar Deshpande,Washington Sundar,Washington Sundar,Matheesha Pathirana,Matheesha Pathirana,Matheesha Pathirana,Marco Jansen,Matheesha Pathirana,Matheesha Pathirana,Washington Sundar,Marco Jansen,Washington Sundar,Marco Jansen,Matheesha Pathirana,Tushar Deshpande
Mayank Markande,Mayank Markande,Marco Jansen,Marco Jansen,Washington Sundar,Mayank Markande,Mayank Markande,Mayank Markande,Marco Jansen,Marco Jansen,Mayank Markande,Mayank Markande,Mayank Markande,Mayank Markande,Mayank Markande,Mayank Markande
T Natarajan,T Natarajan,T Natarajan,Mayank Markande,Marco Jansen,T Natarajan,T Natarajan,T Natarajan,T Natarajan,Mayank Markande,T Natarajan,T Natarajan,T Natarajan,T Natarajan,T Natarajan,T Natarajan
