Rohit Sharma (C),Rohit Sharma (C),Rohit Sharma (C),Rohit Sharma (C),Rohit Sharma (C),Rohit Sharma (C),Ishan Kishan (WK),Ishan Kishan (WK),Ishan Kishan (WK),Ishan Kishan (WK),Ishan Kishan (WK),Ishan Kishan (WK)
Cameron Green,Cameron Green,Cameron Green,Tilak Varma,Tilak Varma,Tilak Varma,Cameron Green,Cameron Green,Cameron Green,Tilak Varma,Tilak Varma,Tilak Varma
Suryakumar Yadav,Suryakumar Yadav,Suryakumar Yadav,Suryakumar Yadav,Suryakumar Yadav,Suryakumar Yadav,Suryakumar Yadav,Suryakumar Yadav,Suryakumar Yadav,Suryakumar Yadav,Suryakumar Yadav,Suryakumar Yadav
Liam Livingstone,Liam Livingstone,Liam Livingstone,Liam Livingstone,Liam Livingstone,Liam Livingstone,Liam Livingstone,Liam Livingstone,Liam Livingstone,Liam Livingstone,Liam Livingstone,Liam Livingstone
Sam Curran (C),Sam Curran (C),Sam Curran (C),Sam Curran (C),Sam Curran (C),Sam Curran (C),Sam Curran (C),Sam Curran (C),Sam Curran (C),Sam Curran (C),Sam Curran (C),Sam Curran (C)
Atharva Taide,Matthew Short,Jitesh Sharma (WK),Atharva Taide,Matthew Short,Jitesh Sharma (WK),Atharva Taide,Matthew Short,Jitesh Sharma (WK),Atharva Taide,Matthew Short,Jitesh Sharma (WK)
Arjun Tendulkar,Tim David,Tim David,Piyush Chawla,Arjun Tendulkar,Tim David,Piyush Chawla,Piyush Chawla,Tim David,Arjun Tendulkar,Tim David,Tim David
Piyush Chawla,Arjun Tendulkar,Arjun Tendulkar,Jason Behrendorff,Piyush Chawla,Jason Behrendorff,Jason Behrendorff,Jason Behrendorff,Piyush Chawla,Piyush Chawla,Piyush Chawla,Arjun Tendulkar
Shahrukh Khan,Shahrukh Khan,Jason Behrendorff,Shahrukh Khan,Jason Behrendorff,Shahrukh Khan,Shahrukh Khan,Nathan Ellis,Jason Behrendorff,Jason Behrendorff,Jason Behrendorff,Piyush Chawla
Nathan Ellis,Nathan Ellis,Nathan Ellis,Nathan Ellis,Rahul Chahar,Rahul Chahar,Nathan Ellis,Rahul Chahar,Shahrukh Khan,Nathan Ellis,Nathan Ellis,Nathan Ellis
Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Rahul Chahar,Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Rahul Chahar,Arshdeep Singh
