Cameron Green,Cameron Green,Cameron Green,Cameron Green,Cameron Green,Cameron Green,Cameron Green,Cameron Green,Cameron Green
Tilak Varma,Tilak Varma,Tilak Varma,Tilak Varma,Tilak Varma,Tilak Varma,Tilak Varma,Tilak Varma,Tilak Varma
Rohit Sharma (C),Rohit Sharma (C),Rohit Sharma (C),Ishan Kishan (WK),Ishan Kishan (WK),Ishan Kishan (WK),Suryakumar Yadav,Suryakumar Yadav,Suryakumar Yadav
Liam Livingstone,Liam Livingstone,Liam Livingstone,Liam Livingstone,Liam Livingstone,Liam Livingstone,Liam Livingstone,Liam Livingstone,Liam Livingstone
Sam Curran (C),Sam Curran (C),Sam Curran (C),Sam Curran (C),Sam Curran (C),Sam Curran (C),Sam Curran (C),Sam Curran (C),Sam Curran (C)
Atharva Taide,Matthew Short,Jitesh Sharma (WK),Atharva Taide,Matthew Short,Jitesh Sharma (WK),Atharva Taide,Matthew Short,Jitesh Sharma (WK)
Piyush Chawla,Arjun Tendulkar,Tim David,Tim David,Tim David,Arjun Tendulkar,Tim David,Arjun Tendulkar,Tim David
Jason Behrendorff,Piyush Chawla,Arjun Tendulkar,Jason Behrendorff,Arjun Tendulkar,Piyush Chawla,Piyush Chawla,Jason Behrendorff,Arjun Tendulkar
Nathan Ellis,Jason Behrendorff,Piyush Chawla,Shahrukh Khan,Jason Behrendorff,Shahrukh Khan,Jason Behrendorff,Shahrukh Khan,Jason Behrendorff
Rahul Chahar,Nathan Ellis,Nathan Ellis,Nathan Ellis,Shahrukh Khan,Rahul Chahar,Nathan Ellis,Nathan Ellis,Nathan Ellis
Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Rahul Chahar,Arshdeep Singh,Arshdeep Singh,Arshdeep Singh,Rahul Chahar,Arshdeep Singh
