Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway
Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad
Ajinkya Rahane,Ajinkya Rahane,Ajinkya Rahane,Shivam Dube,Shivam Dube,Shivam Dube,Moeen Ali,Moeen Ali,Moeen Ali
Mayank Agarwal,Mayank Agarwal,Mayank Agarwal,Mayank Agarwal,Mayank Agarwal,Mayank Agarwal,Mayank Agarwal,Mayank Agarwal,Mayank Agarwal
Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook
Rahul Tripathi,Aiden Markram (C),Heinrich Klaasen (WK),Rahul Tripathi,Aiden Markram (C),Heinrich Klaasen (WK),Rahul Tripathi,Aiden Markram (C),Heinrich Klaasen (WK)
Ravindra Jadeja,Maheesh Theekshana,Ravindra Jadeja,Maheesh Theekshana,Ravindra Jadeja,Maheesh Theekshana,Tushar Deshpande,Ravindra Jadeja,Ravindra Jadeja
Maheesh Theekshana,Tushar Deshpande,Maheesh Theekshana,Tushar Deshpande,Tushar Deshpande,Tushar Deshpande,Matheesha Pathirana,Tushar Deshpande,Maheesh Theekshana
Tushar Deshpande,Matheesha Pathirana,Matheesha Pathirana,Washington Sundar,Matheesha Pathirana,Washington Sundar,Washington Sundar,Matheesha Pathirana,Washington Sundar
Washington Sundar,Mayank Markande,Washington Sundar,Mayank Markande,Washington Sundar,Marco Jansen,Mayank Markande,Mayank Markande,Marco Jansen
Marco Jansen,T Natarajan,Mayank Markande,T Natarajan,Marco Jansen,Mayank Markande,T Natarajan,T Natarajan,T Natarajan
